id,sentence,ambiguous_word,correct_meaning,category,language,source
1,कल वह बाज़ार गया था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
2,कल मैंने एक अच्छी फिल्म देखी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
3,कल बहुत बारिश हुई थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
4,कल उसने मुझे फोन किया था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
5,कल स्कूल में छुट्टी थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
6,कल रात हम सब साथ खाना खाए।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
7,कल की मीटिंग बहुत अच्छी रही।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
8,कल मेरे दोस्त का जन्मदिन था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
9,कल बाज़ार बंद था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
10,कल उसने नई नौकरी शुरू की।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
11,कल परीक्षा के नतीजे आए।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
12,कल सड़क पर बहुत जाम था।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
13,कल मैंने नई किताब पढ़ी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
14,कल बिजली नहीं थी।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
15,कल मेरी माँ बीमार थीं।,कल,yesterday,time_ambiguity,Hindi,custom_annotated
16,"कल परीक्षा है, पढ़ाई करो।",कल,tomorrow,time_ambiguity,Hindi,custom_annotated
17,कल हम दिल्ली जाएंगे।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
18,कल की तैयारी कर लो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
19,कल मौसम अच्छा रहेगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
20,कल से नया काम शुरू होगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
21,कल दफ़्तर जल्दी जाना है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
22,कल मेरी डॉक्टर से अपॉइंटमेंट है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
23,कल बस जल्दी आएगी।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
24,कल की रिपोर्ट तैयार करो।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
25,कल मैं तुमसे मिलूंगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
26,कल शादी है घर में।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
27,कल सुबह जल्दी उठना होगा।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
28,कल बाज़ार से सब्ज़ी लानी है।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
29,कल मेहमान आएंगे।,कल,tomorrow,time_ambiguity,Hindi,custom_annotated
